Date,type,Location,DO,Ammonia (mg/L),BOD,cBOD,Water Temp. (C),Percipitation (in),Outside Temp. (C) ,sampleID,Dataframe
10/3/2019,aqueous,Pond1.1,9.08,24.16,NA,NA,19,0,16,p107,S
10/5/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0,14,p108,S
10/20/2019,aqueous,Pond1.1,1.16,27.84,73,21.5,16.6,0,17,p16,S
10/20/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0,17,p3,S
11/8/2019,aqueous,Pond1.1,0.84,41.83,98,69,13.2,0,11,p37,S
11/8/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0,11,p56,S
12/9/2019,aqueous,Pond1.1,0.9,49.66,75,NA,12.5,0.45,9,p6,S
12/9/2019,sludge,Pond1.1,NA,NA,NA,NA,NA,0.45,9,p61,S
1/9/2020,aqueous,Pond1.1,0.41,,31,NA,12.2,0,11,p80,S
1/9/2020,sludge,Pond1.1,NA,NA,NA,NA,NA,0,11,p95,S
1/17/2020,aqueous,Pond1.1,15.3,8.1,25,40.9,9.3,0.2,2,p110,S
1/17/2020,sludge,Pond1.1,NA,NA,NA,NA,NA,0.2,10,p22,S
10/3/2019,aqueous,Pond1.2,8.4,9.77,NA,NA,18.9,0,16,p26,S
10/5/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0,14,p32,S
10/20/2019,aqueous,Pond1.2,0.98,28.82,70.5,N/A,16.6,0,17,p4,S
10/20/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0,17,p55,S
11/8/2019,aqueous,Pond1.2,0.86,45.73,93,NA,13.3,0,11,p68,S
11/8/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0,11,p73,S
12/9/2019,aqueous,Pond1.2,0.51,43.29,80,NA,12.8,0.45,9,p88,S
12/9/2019,sludge,Pond1.2,NA,NA,NA,NA,NA,0.45,9,p19,S
1/9/2020,aqueous,Pond1.2,1.98,,22,NA,10.2,0,11,p20,S
1/9/2020,sludge,Pond1.2,NA,NA,NA,NA,NA,0,11,p31,S
1/17/2020,aqueous,Pond1.2,11.1,9.62,27,NA,9.1,0.2,2,p54,S
1/17/2020,sludge,Pond1.2,NA,NA,NA,NA,NA,0.2,10,p67,S
10/3/2019,aqueous,Pond1.3,8.7,11.02,NA,NA,18.7,0,16,p74,S
10/5/2019,sludge,Pond1.3,NA,NA,NA,NA,NA,0,14,p82,S
10/20/2019,aqueous,Pond1.3,7.24,29.05,34,N/A,16.9,0,17,p87,S
10/20/2019,sludge,Pond1.3,NA,NA,NA,NA,NA,0,17,p90,S
11/8/2019,aqueous,Pond1.3,0.61,40.33,84,NA,13.2,0,11,p111,S
11/8/2019,sludge,Pond1.3,NA,NA,NA,NA,NA,0,11,p13,S
12/9/2019,aqueous,Pond1.3,0.61,33.15,78,NA,12.4,0.45,9,p18,S
12/9/2019,sludge,Pond1.3,NA,NA,NA,NA,NA,0.45,9,p5,S
1/9/2020,aqueous,Pond1.3,2.5,,37,NA,10,0,11,p53,S
1/9/2020,sludge,Pond1.3,NA,NA,NA,NA,NA,0,11,p66,S
1/17/2020,aqueous,Pond1.3,22,10.81,24,NA,8.5,0.2,2,p83,S
1/17/2020,sludge,Pond1.3,NA,NA,NA,NA,NA,0.2,10,p86,S
10/3/2019,aqueous,Pond1.4,9.11,10.2,NA,NA,18.1,0,16,p9,S
10/5/2019,sludge,Pond1.4,NA,NA,NA,NA,NA,0,14,p84,S
10/20/2019,aqueous,Pond1.4,2.35,30.19,38,N/a,16.9,0,17,p123,S
10/20/2019,sludge,Pond1.4,NA,NA,NA,NA,NA,0,17,p17,S
11/8/2019,aqueous,Pond1.4,0.55,32.01,77,NA,13.2,0,11,p2,S
11/8/2019,sludge,Pond1.4,NA,NA,NA,NA,NA,0,11,p52,S
12/9/2019,aqueous,Pond1.4,1.2,48.36,74,NA,12.4,0.45,9,p65,S
12/9/2019,sludge,Pond1.4,NA,NA,NA,NA,NA,0.45,9,p81,S
1/9/2020,aqueous,Pond1.4,1.31,,41,NA,10,0,11,p85,S
1/9/2020,sludge,Pond1.4,NA,NA,NA,NA,NA,0,11,p93,S
1/17/2020,aqueous,Pond1.4,30,11.18,22,NA,8.6,0.2,2,p102,S
1/17/2020,sludge,Pond1.4,NA,NA,NA,NA,NA,0.2,10,p109,S
10/20/2019,aqueous,Pond1.5,6.1,30.07,27,18,16.2,0,17,p12,S
10/20/2019,sludge,Pond1.5,NA,NA,NA,NA,NA,0,17,p15,S
11/8/2019,aqueous,Pond1.5,1.27,32.53,94.5,53,13.2,0,11,p21,S
11/8/2019,sludge,Pond1.5,NA,NA,NA,NA,NA,0,11,p34,S
12/9/2019,aqueous,Pond1.5,0.24,49.16,76,NA,12.2,0.45,9,p51,S
12/9/2019,sludge,Pond1.5,NA,NA,NA,NA,NA,0.45,9,p64,S
1/9/2020,aqueous,Pond1.5,2.17,,27,NA,10,0,11,p72,S
1/9/2020,sludge,Pond1.5,NA,NA,NA,NA,NA,0,11,p1,S
1/17/2020,aqueous,Pond1.5,17,10.71,23,34.8,8.6,0.2,2,p122,S
1/17/2020,sludge,Pond1.5,NA,NA,NA,NA,NA,0.2,10,p14,S
10/3/2019,aqueous,Pond2.1,11.31,0.4,NA,NA,17.9,0,16,p23,S
10/5/2019,sludge,Pond2.1,NA,NA,NA,NA,NA,0,14,p45,S
10/20/2019,aqueous,Pond2.1,0.64,9.96,42.5,10,16.2,0,17,p50,S
10/20/2019,sludge,Pond2.1,NA,NA,NA,NA,NA,0,17,p63,S
11/3/2019,aqueous,Pond2.1,13.9,0.4,40.5,14,13.5,0,14,p71,S
11/8/2019,sludge,Pond2.1,NA,NA,NA,NA,NA,0,11,p92,S
12/9/2019,aqueous,Pond2.1,2.2,29.92,120,NA,11.8,0.45,9,p121,S
12/9/2019,sludge,Pond2.1,NA,NA,NA,NA,NA,0.45,9,p29,S
1/10/2020,aqueous,Pond2.1,6.69,,74,NA,9,0,10,p36,S
1/9/2020,sludge,Pond2.1,NA,NA,NA,NA,NA,0,11,p38,S
1/17/2020,aqueous,Pond2.1,42.7,12.95,30,29.4,7.9,0.2,2,p40,S
1/17/2020,sludge,Pond2.1,NA,NA,NA,NA,NA,0.2,10,p62,S
10/3/2019,aqueous,Pond2.2,9.04,0.11,NA,NA,17.5,0,16,p70,S
10/5/2019,sludge,Pond2.2,NA,NA,NA,NA,NA,0,14,p91,S
10/20/2019,aqueous,Pond2.2,1.38,11.19,30,N/A,15.8,0,17,p94,S
10/20/2019,sludge,Pond2.2,NA,NA,NA,NA,NA,0,17,p120,S
11/3/2019,aqueous,Pond2.2,15.3,6.8,27,NA,13.9,0,14,p25,S
11/8/2019,sludge,Pond2.2,NA,NA,NA,NA,NA,0,11,p39,S
12/9/2019,aqueous,Pond2.2,2.5,28.83,115,NA,11.6,0.45,9,p41,S
12/9/2019,sludge,Pond2.2,NA,NA,NA,NA,NA,0.45,9,p46,S
1/10/2020,aqueous,Pond2.2,7.55,,70,NA,9.3,0,10,p49,S
1/9/2020,sludge,Pond2.2,NA,NA,NA,NA,NA,0,11,p58,S
1/17/2020,aqueous,Pond2.2,45.4,14.48,37,NA,7.6,0.2,2,p69,S
1/17/2020,sludge,Pond2.2,NA,NA,NA,NA,NA,0.2,10,p89,S
10/3/2019,aqueous,Pond2.3,9.99,0.27,NA,NA,17.6,0,16,p11,S
10/5/2019,sludge,Pond2.3,NA,NA,NA,NA,NA,0,14,p119,S
10/20/2019,aqueous,Pond2.3,4,10.47,43,N/A,16.1,0,17,p125,S
10/20/2019,sludge,Pond2.3,NA,NA,NA,NA,NA,0,17,p42,S
11/3/2019,aqueous,Pond2.3,11.6,4.96,57,NA,13.6,0,14,p48,S
11/8/2019,sludge,Pond2.3,NA,NA,NA,NA,NA,0,11,p57,S
12/9/2019,aqueous,Pond2.3,2.21,33.15,114,NA,11.5,0.45,9,p59,S
12/9/2019,sludge,Pond2.3,NA,NA,NA,NA,NA,0.45,9,p75,S
1/10/2020,aqueous,Pond2.3,4.3,,67,NA,9.3,0,10,p79,S
1/9/2020,sludge,Pond2.3,NA,NA,NA,NA,NA,0,11,p10,S
1/17/2020,aqueous,Pond2.3,43.8,14.6,33,NA,7.3,0.2,2,p105,S
1/17/2020,sludge,Pond2.3,NA,NA,NA,NA,NA,0.2,10,p113,S
10/3/2019,aqueous,Pond2.4,7.83,1.2,NA,NA,17.3,0,16,p28,S
10/5/2019,sludge,Pond2.4,NA,NA,NA,NA,NA,0,14,p77,S
10/20/2019,aqueous,Pond2.4,1.95,12.9,43.5,N/A,15.8,0,17,p104,S
10/20/2019,sludge,Pond2.4,NA,NA,NA,NA,NA,0,17,p114,S
11/3/2019,aqueous,Pond2.4,10.9,0.04,40,NA,13.2,0,14,p7,S
11/8/2019,sludge,Pond2.4,NA,NA,NA,NA,NA,0,11,p76,S
12/9/2019,aqueous,Pond2.4,0.69,29.55,120,NA,11.6,0.45,9,p8,S
12/9/2019,sludge,Pond2.4,NA,NA,NA,NA,NA,0.45,9,p101,S
1/10/2020,aqueous,Pond2.4,7.77,,58,NA,9.3,0,10,p103,S
1/9/2020,sludge,Pond2.4,NA,NA,NA,NA,NA,0,11,p115,S
1/17/2020,aqueous,Pond2.4,42,13.39,32,NA,7.8,0.2,2,p35,S
1/17/2020,sludge,Pond2.4,NA,NA,NA,NA,NA,0.2,10,p44,S
10/20/2019,aqueous,Pond2.5,5.84,25.18,64,22.5,16.9,0,17,p100,S
10/20/2019,sludge,Pond2.5,NA,NA,NA,NA,NA,0,17,p112,S
11/3/2019,aqueous,Pond2.5,8,0.05,61,23,12.8,0,14,p124,S
11/8/2019,sludge,Pond2.5,NA,NA,NA,NA,NA,0,11,p33,S
12/9/2019,aqueous,Pond2.5,0.83,40.87,110,NA,11.4,0.45,9,p47,S
12/9/2019,sludge,Pond2.5,NA,NA,NA,NA,NA,0.45,9,p116,S
1/10/2020,aqueous,Pond2.5,5.75,,57,NA,9.2,0,10,p118,S
1/9/2020,sludge,Pond2.5,NA,NA,NA,NA,NA,0,11,p27,S
1/17/2020,aqueous,Pond2.5,37.5,13.99,33,27.5,7.8,0.2,2,p43,S
1/17/2020,sludge,Pond2.5,NA,NA,NA,NA,NA,0.2,10,p60,S
10/5/2019,aqueous,Point11,NA,4.28,NA,NA,17.1,0,14,p106,S
10/20/2019,aqueous,Point11,NA,11.14,NA,NA,15.7,0,17,p117,S
11/8/2019,aqueous,Point11,NA,3.5,NA,NA,14.3,0,11,p24,S
12/9/2019,aqueous,Point11,NA,27.67,NA,NA,11.1,0.45,9,p30,S
1/9/2020,aqueous,Point11,NA,NA,NA,NA,10.1,0,11,p78,S
1/17/2020,aqueous,Point11,NA,14.6,NA,NA,9.2,0.2,10,p85,S
10/5/2019,aqueous,Point12,NA,3.42,NA,NA,16.1,0,14,p108,S
10/20/2019,aqueous,Point12,NA,9.1,NA,NA,15.8,0,17,p13,S
11/8/2019,aqueous,Point12,NA,5.65,NA,NA,14.6,0,11,p153,S
12/9/2019,aqueous,Point12,NA,19.36,NA,NA,11.2,0.45,9,p39,S
1/9/2020,aqueous,Point12,NA,NA,NA,NA,10.2,0,11,p62,S
1/17/2020,aqueous,Point12,NA,12.08,NA,NA,9.3,0.2,10,p86,S
10/5/2019,aqueous,Point14,NA,3.13,NA,NA,16.3,0,14,p109,S
10/20/2019,aqueous,Point14,NA,9.16,NA,NA,16.1,0,17,p130,S
11/8/2019,aqueous,Point14,NA,5.74,NA,NA,14.5,0,11,p16,S
12/9/2019,aqueous,Point14,NA,18.58,NA,NA,11.4,0.45,9,p4,S
1/9/2020,aqueous,Point14,NA,NA,NA,NA,10.1,0,11,p63,S
1/17/2020,aqueous,Point14,NA,14.36,NA,NA,9.1,0.2,10,p87,S
10/5/2019,aqueous,Point15,NA,1.96,NA,NA,16.3,0,14,p11,S
10/20/2019,aqueous,Point15,NA,10.76,NA,NA,15.3,0,17,p131,S
11/8/2019,aqueous,Point15,NA,2.11,NA,NA,14.3,0,11,p17,S
12/9/2019,aqueous,Point15,NA,13.33,NA,NA,11.1,0.45,9,p40,S
1/9/2020,aqueous,Point15,NA,NA,NA,NA,10,0,11,p64,S
1/17/2020,aqueous,Point15,NA,10.22,NA,NA,9.1,0.2,10,p88,S
10/5/2019,aqueous,Point16,NA,4.02,NA,NA,16.3,0,14,p110,S
10/20/2019,aqueous,Point16,NA,4.42,NA,NA,15.4,0,17,p132,S
11/8/2019,aqueous,Point16,NA,2.98,NA,NA,14.2,0,11,p18,S
12/9/2019,aqueous,Point16,NA,20.26,NA,NA,11.2,0.45,9,p41,S
1/9/2020,aqueous,Point16,NA,NA,NA,NA,10.2,0,11,p65,S
1/17/2020,aqueous,Point16,NA,14.17,NA,NA,9.2,0.2,10,p89,S
10/5/2019,aqueous,Point9,NA,5.46,NA,NA,18.2,0,14,p106,S
10/20/2019,aqueous,Point9,NA,13.41,NA,NA,15.2,0,17,p128,S
11/8/2019,aqueous,Point9,NA,3.96,NA,NA,14.5,0,11,p151,S
12/9/2019,aqueous,Point9,NA,27.22,NA,NA,11,0.45,9,p37,S
1/9/2020,aqueous,Point9,NA,NA,NA,NA,10.2,0,11,p60,S
1/17/2020,aqueous,Point9,NA,14.11,NA,NA,9.2,0.2,10,p84,S
